,Date,approve_mean,disapprove_mean,Issue,approve_std,disapprove_std,approve_CI_upper,approve_CI_lower,disapprove_CI_upper,disapprove_CI_lower
0,2025-01-21,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
1,2025-01-22,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
2,2025-01-23,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
3,2025-01-24,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
4,2025-01-25,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
5,2025-01-26,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
6,2025-01-27,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
7,2025-01-28,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
8,2025-01-29,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
9,2025-01-30,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
10,2025-01-31,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
11,2025-02-01,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
12,2025-02-02,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
13,2025-02-03,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
14,2025-02-04,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
15,2025-02-05,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
16,2025-02-06,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
17,2025-02-07,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
18,2025-02-08,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
19,2025-02-09,39.3873685,36.6126315,foreign_policy,0.0,0.0,39.3873685,39.3873685,36.6126315,36.6126315
