,Date,net,net_std,net_upper_CI,net_lower_CI
0,2025-01-23,16.961146520419394,1.018190159338432,18.95679923272272,14.965493808116067
1,2025-01-24,12.617812491074442,4.537723535178003,21.511750620023328,3.7238743621255566
2,2025-01-25,12.617812491074442,4.537723535178003,21.511750620023328,3.7238743621255566
3,2025-01-26,12.406214054884495,4.492461389670914,21.211438378639485,3.600989731129504
4,2025-01-27,8.733322484597242,5.498262666993804,19.5099173119051,-2.0432723427106136
5,2025-01-28,5.919266655794755,4.423748640348512,14.589813990877836,-2.7512806792883273
6,2025-01-29,5.919266655794755,4.423748640348512,14.589813990877836,-2.7512806792883273
7,2025-01-30,5.919266655794754,4.423748640348512,14.589813990877836,-2.751280679288328
8,2025-01-31,6.278241323511529,4.391703918319197,14.885981003417154,-2.3294983563940965
9,2025-02-01,5.643608911329898,4.4626289077668195,14.390361570552866,-3.1031437478930686
10,2025-02-02,5.643608911329898,4.4626289077668195,14.390361570552866,-3.1031437478930686
11,2025-02-03,5.5081579796344675,4.417320763004326,14.166106675122947,-3.149790715854011
12,2025-02-04,5.206418178788511,4.377522523187328,13.786362324235675,-3.3735259666586517
13,2025-02-05,2.505719822943019,4.539312275575358,11.40277188307072,-6.391332237184681
14,2025-02-06,2.8540234703508736,4.370794040109441,11.42077978896538,-5.712732848263632
15,2025-02-07,2.854023470350873,4.370794040109441,11.420779788965378,-5.712732848263633
16,2025-02-08,2.8540234703508736,4.370794040109441,11.42077978896538,-5.712732848263632
17,2025-02-09,3.0458592086213736,4.27631132180697,11.427429399363035,-5.335710982120287
18,2025-02-10,3.045859208621373,4.27631132180697,11.427429399363033,-5.335710982120288
19,2025-02-11,2.816863326425388,4.284220675569534,11.213935850541674,-5.580209197690898
20,2025-02-12,2.8168633264253877,4.284220675569534,11.213935850541674,-5.580209197690898
21,2025-02-13,3.2298332994061605,4.137303742449489,11.33894863460716,-4.879282035794838
22,2025-02-14,3.788524268216366,4.550378434175392,12.707265999200134,-5.130217462767403
23,2025-02-15,4.886279012271616,4.610255261450422,13.922379324714441,-4.149821300171211
24,2025-02-16,4.873853911719237,4.583656160241256,13.8578199857921,-4.110112162353625
25,2025-02-17,2.1017245705169807,4.851075483017141,11.609832517230576,-7.406383376196615
26,2025-02-18,1.6593991083209787,4.6588090638097786,10.790664873388145,-7.4718666567461876
27,2025-02-19,0.7519595396075615,4.473659762569277,9.520332674243344,-8.01641359502822
28,2025-02-20,0.8303142323266577,4.5313026735503685,9.711667472485379,-8.051039007832065
29,2025-02-21,1.0321458215977595,4.654986071122163,10.1559185209972,-8.09162687780168
30,2025-02-22,1.0321458215977595,4.654986071122165,10.155918520997204,-8.091626877801684
31,2025-02-23,1.0321458215977595,4.654986071122163,10.1559185209972,-8.09162687780168
32,2025-02-24,1.551217078365236,4.5835060817557345,10.534888998606474,-7.4324548418760035
33,2025-02-25,1.9520591304020134,4.504717760381666,10.781305940750078,-6.8771876799460525
34,2025-02-26,1.2744884951064641,4.770426603686753,10.624524638332499,-8.07554764811957
35,2025-02-27,1.2744884951064641,4.770426603686753,10.624524638332499,-8.07554764811957
36,2025-02-28,1.4672993128899374,4.837641635225191,10.949076917931311,-8.014478292151438
37,2025-03-01,1.4525377158492307,4.811306346348421,10.882698154692136,-7.977622722993675
38,2025-03-02,0.8344997427572389,4.600872482415345,9.852209808291313,-8.183210322776837
39,2025-03-03,0.8458344688238851,4.430923696572927,9.530444914106821,-7.838775976459051
40,2025-03-04,0.8378618220459113,4.379983503633858,9.422629489168273,-7.7469058450764505
41,2025-03-05,-0.0461337792693087,4.35967704372401,8.49883322642975,-8.591100784968367
42,2025-03-06,0.040471848155544526,4.355175579108955,8.576615983209095,-8.495672286898007
43,2025-03-07,-0.036940683716569445,4.272248472894175,8.336666323156013,-8.410547690589151
44,2025-03-08,-0.036940683716569445,4.272248472894175,8.336666323156013,-8.410547690589151
45,2025-03-09,0.08475983015990754,4.254150535835087,8.422894880396676,-8.253375220076862
46,2025-03-10,-0.44846694500150336,4.6610986831686425,8.687286474009037,-9.584220364012042
47,2025-03-11,-0.8434235736803961,4.442649542147775,7.864169528929243,-9.551016676290036
48,2025-03-12,-0.8434235736803962,4.442649542147775,7.864169528929243,-9.551016676290036
49,2025-03-13,-0.44440235606952627,4.623122471590588,8.616917688248027,-9.505722400387079
50,2025-03-14,-1.0961447137149984,4.697015630224152,8.110005921524339,-10.302295348954337
51,2025-03-15,-1.0961447137149982,4.697015630224152,8.110005921524339,-10.302295348954337
52,2025-03-16,-1.0964217563128458,4.6823854137196905,8.081053654577747,-10.27389716720344
53,2025-03-17,-1.5009842400539448,4.391329172321566,7.106020937696324,-10.107989417804214
54,2025-03-18,-1.3393644775198106,4.190527896584773,6.874070199786345,-9.552799154825966
55,2025-03-19,-1.0841732376776863,4.409075134999045,7.557614026920443,-9.725960502275814
56,2025-03-20,-1.1276879401912927,4.414949205199764,7.525612502000244,-9.78098838238283
57,2025-03-21,-1.1276879401912931,4.414949205199764,7.525612502000243,-9.78098838238283
58,2025-03-22,-1.1276879401912927,4.414949205199764,7.525612502000244,-9.78098838238283
59,2025-03-23,-1.2242581065964728,4.195013083605665,6.997967537270631,-9.446483750463576
60,2025-03-24,-1.3019926608059964,4.076728562297199,6.688395321296515,-9.292380642908507
61,2025-03-25,-1.3077907340542356,4.016988599791289,6.565506921536691,-9.181088389645161
62,2025-03-26,-1.3077907340542354,4.016988599791289,6.5655069215366915,-9.181088389645161
63,2025-03-27,-1.056330377884482,4.036811065432713,6.855819310363635,-8.9684800661326
64,2025-03-28,-1.112134529238312,4.015495386614283,6.7582364285256835,-8.982505487002307
65,2025-03-29,-1.112134529238312,4.015495386614283,6.7582364285256835,-8.982505487002307
66,2025-03-30,-1.1204414197627615,4.000306718648215,6.72015974878774,-8.961042588313262
67,2025-03-31,-1.1023666681291242,3.9704194049989683,6.679655365668853,-8.8843887019271
