,Date,economy_avg,foreign_policy_avg,immigration_avg,inflation_avg,economy_std,foreign_policy_std,immigration_std,inflation_std,trade_tariffs_avg,trade_tariffs_std,healthcare_avg,healthcare_std,crime_avg,crime_std,economy_upper_CI,economy_lower_CI,foreign_policy_upper_CI,foreign_policy_lower_CI,immigration_upper_CI,immigration_lower_CI,inflation_upper_CI,inflation_lower_CI,trade_tariffs_upper_CI,trade_tariffs_lower_CI,healthcare_upper_CI,healthcare_lower_CI,crime_upper_CI,crime_lower_CI
0,2025-01-30,3.193746247638899,2.774737000000002,1.3138092845155427,2.2108427933577754,5.035699421887029,2.0,2.5611835291850418,5.646988682767262,4.007425247487907,7.17996394631546,-13.999072299999995,2.0,13.499173549999995,2.0,8.229445669525928,-1.8419531742481294,4.774737000000002,0.7747370000000018,3.8749928137005845,-1.247374244669499,7.857831476125037,-3.4361458894094863,11.187389193803366,-3.1725386988275526,-11.999072299999995,-15.999072299999995,15.499173549999995,11.499173549999995
1,2025-01-31,3.1928984900608426,2.774737000000002,1.3138889091475798,2.209098364891724,5.035088403142423,2.0,2.561461411260595,5.647474586808658,4.005981188502669,7.179499270954143,-13.999072299999995,2.0,13.499173549999995,2.0,8.227986893203266,-1.84218991308158,4.774737000000002,0.7747370000000018,3.8753503204081747,-1.247572502113015,7.856572951700382,-3.4383762219169345,11.185480459456812,-3.1735180824514746,-11.999072299999995,-15.999072299999995,15.499173549999995,11.499173549999995
2,2025-02-01,3.192105877793438,2.774737000000002,1.3139532428243659,2.2075140460356266,5.034522649869413,2.0,2.5617057357749617,5.64791538981127,4.004701854697492,7.179087333768429,-13.999072299999995,2.0,13.499173549999995,2.0,8.226628527662852,-1.8424167720759752,4.774737000000002,0.7747370000000018,3.8756589785993274,-1.2477524929505959,7.855429435846896,-3.440401343775643,11.183789188465921,-3.1743854790709367,-11.999072299999995,-15.999072299999995,15.499173549999995,11.499173549999995
3,2025-02-02,3.1913779576143493,2.774737000000002,1.3140001772827974,2.206115278513339,5.034009773869482,2.0,2.5619115313433283,5.648304169139437,-0.2728691047635925,6.319614919224428,-13.999072299999995,2.0,13.499173549999995,2.0,8.225387731483831,-1.8426318162551323,4.774737000000002,0.7747370000000018,3.8759117086261257,-1.2479113540605309,7.854419447652776,-3.442188890626098,6.046745814460835,-6.59248402398802,-11.999072299999995,-15.999072299999995,15.499173549999995,11.499173549999995
4,2025-02-03,3.190725173765469,2.774737000000002,1.3140274119144082,2.2049298726360913,5.0335581004457755,2.0,2.5620733670540217,5.648633353733615,1.6302867476981213,6.735944115200124,-13.999072299999995,2.0,13.499173549999995,2.0,8.224283274211245,-1.8428329266803063,4.774737000000002,0.7747370000000018,3.87610077896843,-1.2480459551396135,7.853563226369706,-3.4437034810975238,8.366230862898245,-5.105657367502003,-11.999072299999995,-15.999072299999995,15.499173549999995,11.499173549999995
5,2025-02-04,3.723548767550198,2.774737000000002,3.4426450297734688,0.8654565422027581,4.519733837413698,2.0,4.726735931445482,4.236450920472433,1.6305864819335074,6.736032204953819,-10.52340370807457,5.280513213901179,13.499173549999995,2.0,8.243282604963897,-0.7961850698634998,4.774737000000002,0.7747370000000018,8.169380961218952,-1.2840909016720135,5.101907462675191,-3.3709943782696747,8.366618686887326,-5.105445723020312,-5.242890494173391,-15.803916921975748,15.499173549999995,11.499173549999995
6,2025-02-05,3.722804294874291,2.774737000000002,3.441052447321747,0.8656776836440365,4.519932789988966,2.0,4.725885263493596,4.237242763304331,1.6309029423141344,6.736158471045721,-10.525804429113524,5.2794789685561225,13.499173549999993,1.7763568394002505e-15,8.242737084863258,-0.7971284951146744,4.774737000000002,0.7747370000000018,8.166937710815343,-1.2848328161718485,5.102920446948367,-3.3715650796602947,8.367061413359856,-5.105255528731587,-5.246325460557402,-15.805283397669648,13.499173549999995,13.499173549999991
7,2025-02-06,3.7221897752077076,2.774737000000002,3.439608582937775,0.865999552585887,4.5201527088295395,2.0,4.7251122553935305,4.237946285205684,1.6312370841118953,6.73632719898912,-10.527926624104605,5.278563636001968,13.499173549999995,2.0,8.242342484037247,-0.7979629336218319,4.774737000000002,0.7747370000000018,8.164720838331306,-1.2855036724557554,5.103945837791571,-3.371946732619797,8.367564283101014,-5.105090114877225,-5.249362988102638,-15.806490260106573,15.499173549999995,11.499173549999995
8,2025-02-07,3.721723245265983,2.774737000000002,3.4383365297212904,0.8664335007976319,4.5203955103479645,2.0,4.724429297490631,4.238548100097841,1.6315899311100006,6.736543053226393,-10.529728903888815,5.277785492649355,13.499173549999995,2.0,8.242118755613948,-0.7986722650819815,4.774737000000002,0.7747370000000018,8.16276582721192,-1.2860927677693406,5.1049816008954725,-3.372114599300209,8.368132984336395,-5.104953122116393,-5.25194341123946,-15.80751439653817,15.499173549999995,11.499173549999995
9,2025-02-08,3.7214244312058784,2.774737000000002,3.437261562753251,0.8669918891127738,4.520663269958216,2.0,4.723849945470166,4.239033558686216,1.6319625832403735,6.736811112092619,-10.531165978240974,5.277164505286737,13.499173549999993,1.7763568394002503e-15,8.242087701164094,-0.7992388387523373,4.774737000000002,0.7747370000000018,8.161111508223417,-1.2865883827169147,5.10602544779899,-3.372041669573442,8.368773695332992,-5.104848528852246,-5.254001472954237,-15.808330483527712,13.499173549999995,13.499173549999991
