,Date,approve_mean,disapprove_mean,approve_CI_upper,approve_CI_lower,disapprove_CI_upper,disapprove_CI_lower
0,2025-01-20,47.70776498117391,44.6772069200355,51.43421405477791,43.98131590756991,45.46526833690412,43.88914550316689
1,2025-01-21,47.707428787465155,44.67713484968067,51.4345304234216,43.98032715150871,45.465298022387124,43.888971676974215
2,2025-01-22,47.707086542845964,44.67704229972973,51.43498831233434,43.97918477335759,45.465336075683666,43.88874852377579
3,2025-01-23,47.706738324898,44.676927471941504,51.435600416817095,43.9778762329789,45.46538319115013,43.888471752732876
4,2025-01-24,47.70638421955949,44.67678843111618,51.43638037533813,43.976388063780846,45.465440102592105,43.888136759640254
5,2025-01-25,47.70602432091991,44.67662309260225,51.437342850681226,43.97470579115859,45.465507584482886,43.88773860072161
6,2025-01-26,47.70565873095606,44.67642920822844,51.438503620836464,43.972813841075656,45.465586453073044,43.88727196338384
7,2025-01-27,47.47717188506382,44.44484652806113,51.24425887909758,43.71008489103006,45.96574106424533,42.923951991876926
8,2025-01-28,47.476720534010184,44.44449933462297,51.24549464722373,43.70794642079664,45.965671486452415,42.92332718279352
9,2025-01-29,47.47622090035955,44.444075387979794,51.24691154581941,43.70553025489969,45.96562249561414,42.922528280345446
10,2025-01-30,47.47566912659316,44.44356789891894,51.24852451632076,43.702813736865565,45.96559590600733,42.921539891830555
11,2025-01-31,47.4750610280272,44.442969506701886,51.25034969035533,43.69977236569907,45.96559359186224,42.92034542154153
12,2025-02-01,46.77544431153261,44.216973919370616,51.48512428206576,42.06576434099946,45.952306590830624,42.48164124791061
13,2025-02-02,46.7740833311414,44.216056017161954,51.486144455750924,42.06202220653187,45.95183590294996,42.48027613137395
14,2025-02-03,46.77248619740315,44.21498284407938,51.487284021619125,42.05768837318717,45.95130497439894,42.47866071375982
15,2025-02-04,46.77063194197772,44.21374065268298,51.48855169470715,42.05271218924829,45.95070762906695,42.47677367629901
16,2025-02-05,46.84723959199269,45.58215124526132,49.84054310569406,43.85393607829132,48.04011568400371,43.124186806518935
17,2025-02-06,46.36521248226383,45.484073939251886,49.8034494387935,42.92697552573416,47.766084387865426,43.202063490638345
18,2025-02-07,46.36402233415399,45.48441993927362,49.802666238582184,42.92537842972579,47.76734952314846,43.20149035539878
19,2025-02-08,46.36266355149312,45.48485175273299,49.80169406772275,42.92363303526349,47.768787561053344,43.20091594441264
20,2025-02-09,46.3611222239941,45.48537697872966,49.80051561166756,42.921728836320646,47.77041241852882,43.2003415389305
21,2025-02-10,46.36122052973641,45.48538530078669,49.800917785303405,42.92152327416941,47.77071800345752,43.20005259811586
22,2025-02-11,46.36128807631681,45.48544230113859,49.80125767189214,42.92131848074148,47.77109048390649,43.19979411837069
23,2025-02-12,46.36132178737246,45.48555251498519,49.80152864712075,42.921114927624174,47.77153547511459,43.199569554855785
24,2025-02-13,46.54326290844743,45.632226181494495,49.50699958812285,43.57952622877201,47.61847662478524,43.64597573820375
25,2025-02-14,46.54320386077571,45.632369646840864,49.50715808240372,43.579249639147704,47.618935335533656,43.64580395814807
26,2025-02-15,46.54294828225473,45.63247006897132,49.50715244941757,43.57874411509189,47.619360209293326,43.64557992864932
27,2025-02-16,46.54265434215927,45.632624970324095,49.50704308359464,43.578265600723896,47.61982152521888,43.64542841542931
28,2025-02-17,46.54231897192317,45.63283923558294,49.50682028903697,43.57781765480937,47.62032179740854,43.64535667375734
29,2025-02-18,45.38299525324124,44.71837891530881,50.30126322767835,40.46472727880413,48.28558271385953,41.15117511675809
30,2025-02-19,45.382890579974,44.71880782894867,50.300653602146504,40.4651275578015,48.28622197896893,41.15139367892841
31,2025-02-20,45.38265892265921,44.719223876980436,50.29991858762787,40.46539925769055,48.286951635562644,41.15149611839823
32,2025-02-21,45.76945067877798,44.89502482593167,50.67861910035976,40.8602822571962,48.300177435083974,41.48987221677937
33,2025-02-22,45.768949316215455,44.89532844182897,50.677836547865134,40.860062084565776,48.30093415611206,41.48972272754588
34,2025-02-23,45.7683414663396,44.8956309502506,50.67698860215307,40.85969433052613,48.30179607767586,41.48946582282534
35,2025-02-24,45.76761811934936,44.89593165224759,50.676070530018315,40.8591657086804,48.302771551354695,41.489091753140485
36,2025-02-25,45.76676960119194,44.89622979359796,50.67507721472957,40.85846198765431,48.30386952757829,41.48859005961763
37,2025-02-26,45.765785515734265,44.896524560906556,50.674003114196495,40.857567917272036,48.30509960602164,41.48794951579147
38,2025-02-27,45.76465467995623,44.8968150772734,50.6728422132418,40.85646714667066,48.306472091834344,41.48715806271246
39,2025-02-28,45.76336505111095,44.897100397460406,50.671587969017395,40.85514213320451,48.30799805855668,41.486202736364135
40,2025-03-01,45.7619036446183,44.89737950247389,50.67023324842798,40.853574040808624,48.309689418715756,41.48506958623202
41,2025-03-02,45.30412038454635,45.18982374756616,49.83145849278555,40.77678227630715,48.3104144540126,42.069233041119716
42,2025-03-03,44.15517475788302,45.15996560682544,49.673179192084184,38.63717032368185,47.86384590293099,42.456085310719885
43,2025-03-04,44.153549989447725,45.1601967264252,49.67030599907067,38.63679397982478,47.865198837001216,42.45519461584918
44,2025-03-05,44.624617813991684,45.98983822704143,49.34237234710363,39.90686328087974,49.2117199267388,42.76795652734406
45,2025-03-06,44.623168226294496,45.99025067381728,49.340066126849294,39.9062703257397,49.212656864254306,42.76784448338025
46,2025-03-07,44.62149829009664,45.990773049763035,49.3374142138086,39.90558236638468,49.21372440873067,42.7678216907954
47,2025-03-08,44.61958990887524,45.99141500045352,49.3343874546999,39.90479236305058,49.21493293648308,42.76789706442396
48,2025-03-09,44.549224924320484,45.99304991376413,49.01097370743331,40.08747614120766,49.03388899215109,42.95221083537717
49,2025-03-10,44.547023345978644,45.99386239081731,49.00720027271776,40.08684641923953,49.03520369051027,42.95252109112435
50,2025-03-11,44.92915427648638,46.26740743969757,49.427748915667124,40.430559637305635,49.356355515345236,43.17845936404991
51,2025-03-12,44.92695584829144,46.26846298673932,49.42460866469366,40.429303031889226,49.35750825346448,43.179417720014165
52,2025-03-13,45.26785051737806,46.22508152542911,49.644969789858656,40.89073124489746,49.05396357428428,43.39619947657394
53,2025-03-14,45.26645265168472,46.225540413816894,49.64231585847288,40.89058944489657,49.05423258561431,43.39684824201948
54,2025-03-15,45.264955346493,46.226093726299844,49.63939938301219,40.8905113099738,49.054499959947435,43.39768749265225
55,2025-03-16,45.26335201496397,46.22674943968087,49.63620055293002,40.89050347699792,49.05476478788615,43.398734091475596
56,2025-03-17,45.26163559825695,46.22751611794886,49.63269805327165,40.89057314324225,49.055026021308024,43.400006214589695
57,2025-03-18,45.260905092085515,46.22796580145403,49.63238204087263,40.8894281432984,49.05525693849212,43.400674664415945
58,2025-03-19,45.412527584215184,46.34974597588505,50.01518314555959,40.80987202287078,49.42140059099627,43.27809136077383
59,2025-03-20,45.411770752071554,46.35034870740152,50.01491904396367,40.808622460179436,49.42152422063177,43.27917319417128
60,2025-03-21,45.41101329877236,46.35106631401541,50.014701844080975,40.807324753463746,49.42167678579086,43.28045584223997
61,2025-03-22,45.410256561818876,46.351908521398855,50.01453649187551,40.80597663176224,49.42186047029185,43.28195657250586
62,2025-03-23,45.40950198278663,46.35288581399475,50.014428320314444,40.804575645258815,49.42207754412537,43.283694083864134
63,2025-03-24,45.40875111483335,46.35400950897265,50.01438308497747,40.803119144689234,49.42233035800028,43.28568865994502
64,2025-03-25,45.4080056311633,46.355291840048714,50.0144070043199,40.8016042580067,49.42262133555184,43.28796234454559
65,2025-03-26,45.40726733461868,46.356746052768735,50.01450680534807,40.80002786388929,49.42295296261242,43.29053914292505
66,2025-03-27,45.40653816860135,46.35838651314855,50.0146897756055,40.798386561597205,49.42332777278652,43.29344525351058
67,2025-03-28,45.40582022956625,46.360228831921994,50.0149638225359,40.79667663659661,49.42374832836661,43.29670933547738
68,2025-03-29,45.40512787415538,46.36191310912232,50.01512704970934,40.795128698601424,49.424612136967994,43.299214081276645
69,2025-03-30,45.40445280675629,46.363796633116614,50.015378282866216,40.79352733064636,49.42556897843812,43.302024287795106
70,2025-03-31,45.40379779385912,46.36589641300452,50.01572597164062,40.79186961607762,49.426625496982254,43.30516732902679
71,2025-04-01,45.25448633939006,46.22171293477604,49.86437071179946,40.644601966980666,49.38908947048181,43.05433639907028
72,2025-04-02,45.25364892008348,46.22387702704055,49.86454318522901,40.642754654937946,49.39066554531853,43.057088508762575
73,2025-04-03,45.55530556122461,46.80848981576277,49.31866584841794,41.79194527403127,49.828770827426105,43.78820880409943
74,2025-04-04,45.55497106925786,46.8103415609616,49.318082534186985,41.791859604328735,49.829413387353824,43.79126973456937
75,2025-04-05,45.55467221031243,46.81243448152428,49.31736803792056,41.791976382704306,49.8301443773802,43.794724585668355
76,2025-04-06,45.55441310830267,46.814789247663285,49.31651035942315,41.79231585718219,49.83096972793883,43.79860876738774
77,2025-04-07,45.555343952180195,46.817158167802994,49.31582770714611,41.79486019721428,49.830396535045125,43.80391980056086
78,2025-04-08,44.922210030590485,46.039171568505736,49.15583779610694,40.68858226507403,50.184183239409535,41.89415989760194
79,2025-04-09,44.92232766618581,46.04045388743676,49.154777533087724,40.68987779928389,50.18540712265172,41.895500652221806
80,2025-04-10,44.92243590056541,46.04179487120941,49.15356054655399,40.69131125457683,50.18678085085164,41.89680889156718
81,2025-04-11,44.922533604064625,46.0431979128527,49.152173376871,40.69289383125825,50.18831673762448,41.89807908808091
82,2025-04-12,44.813951015398175,45.92608485611905,49.272648901524015,40.355253129272334,50.35873758066974,41.493432131568355
83,2025-04-13,44.99000783383604,46.179271875621474,49.23811960039528,40.7418960672768,50.50201373834205,41.8565300129009
84,2025-04-14,45.37314598911227,46.10181775070464,49.25263689292644,41.493655085298094,50.046339602369976,42.157295899039305
85,2025-04-15,45.37419786861746,46.10285541047091,49.25150600776348,41.496889729471434,50.04687309857199,42.158837722369825
86,2025-04-16,45.34369588949398,46.4950557974544,49.02006226941441,41.66732950957355,50.869075935558676,42.12103565935012
87,2025-04-17,45.34486160772207,46.496420084260166,49.01851193896133,41.671211276482815,50.86994837244964,42.12289179607069
88,2025-04-18,44.87040287051415,45.96339012033935,48.607121720495456,41.13368402053284,50.35661299274128,41.57016724793741
89,2025-04-19,44.87114717424363,45.96422812970751,48.60574907390922,41.13654527457804,50.35763075013144,41.57082550928357
90,2025-04-20,44.87111659035432,45.963973667041515,48.604427024943604,41.137806155765034,50.3589604831237,41.56898685095933
91,2025-04-21,44.43162065476436,46.43270166482853,48.28205621139479,40.58118509813393,50.875134328521874,41.99026900113518
92,2025-04-22,44.43124593930826,46.43265403785853,48.28038167337628,40.58211020524024,50.8768355327312,41.98847254298587
93,2025-04-23,44.43133420169877,46.43251616028581,48.27974288696373,40.582925516433804,50.87834091793795,41.98669140263367
94,2025-04-24,44.42510599479311,46.462085795897046,47.925881161168846,40.92433082841737,50.51075162182701,42.41341996996708
95,2025-04-25,44.425081895083636,46.46195179508352,47.9248055219038,40.92535826826347,50.51225766979929,42.411645920367754
96,2025-04-26,44.42500319273172,46.461800937126185,47.92352521878336,40.926481166680084,50.51390602163881,42.40969585261356
97,2025-04-27,44.304925633579906,46.422013307094076,48.030799326692105,40.57905194046771,50.447738099159636,42.396288515028516
98,2025-04-28,44.30462873959047,46.421797128603075,48.02924707057627,40.58001040860467,50.449601901892024,42.393992355314126
99,2025-04-29,44.250844983864134,46.39291632229999,47.96543361258683,40.53625635514144,50.37465402251655,42.411178622083426
100,2025-04-30,44.25031616044794,46.39262074177558,47.963358396218965,40.53727392467691,50.37672566681738,42.40851581673378
101,2025-05-01,44.249669744383496,46.392287067091495,47.96099456016778,40.538344928599216,50.378961074759204,42.405613059423786
102,2025-05-02,44.248805591394536,46.39182169441533,47.95772148672329,40.539889696065785,50.38073573139134,42.402907657439314
103,2025-05-03,44.24646479255203,46.390803730733545,47.95444117755517,40.5384884075489,50.381699166191346,42.39990829527574
104,2025-05-04,44.24383142450515,46.38967848052411,47.950765728008314,40.53689712100199,50.38270059787614,42.396656363172085
105,2025-05-05,44.2418737847042,46.38939522229975,47.94699856357194,40.536749005836455,50.38384401064047,42.39494643395902
106,2025-05-06,43.8994965838566,46.453231908381625,47.90729040074077,39.891702766972436,50.251355175656336,42.655108641106914
107,2025-05-07,43.89712721440598,46.4529567934852,47.90251190194574,39.89174252686621,50.25249858494353,42.65341500202687
108,2025-05-08,44.64467082520916,46.74811253674234,48.619091728679756,40.67024992173857,50.01640306836993,43.47982200511475
109,2025-05-09,44.642858505826595,46.74791974011154,48.61635349773348,40.66936351391971,50.01695905894914,43.47888042127394
110,2025-05-10,44.64089947954424,46.747746588888525,48.61340584387945,40.66839311520903,50.017462164918896,43.47803101285815
111,2025-05-11,44.639456616457345,46.74788904418544,48.61119470563228,40.66771852728241,50.017951680615326,43.47782640775556
112,2025-05-12,45.21015118872905,46.79096156754662,49.59391892155085,40.82638345590725,49.7757507768729,43.80617235822034
113,2025-05-13,45.20947546380285,46.790947914465036,49.59312502522935,40.82582590237636,49.77541288455167,43.8064829443784
114,2025-05-14,45.208837227482505,46.79096943743365,49.59239551581363,40.82527893915138,49.77490762275964,43.80703125210766
115,2025-05-15,45.20824131246908,46.79102948190856,49.59173809696091,40.824744527977245,49.774219733528795,43.80783923028832
116,2025-05-16,45.20769292460211,46.79113164888879,49.59116106598299,40.824224783221226,49.77333273208616,43.808930565691426
117,2025-05-17,45.20719767450842,46.79127981788772,49.59067336325203,40.82372198576481,49.77222878234016,43.81033085343528
118,2025-05-18,45.20676161318439,46.791478172802904,49.59028462746903,40.82323859889975,49.77088855492324,43.81206779068257
119,2025-05-19,44.69414753922365,46.086400587049916,49.25012514871784,40.13816992972946,50.1541832147965,42.018617959303334
120,2025-05-20,44.69398548727463,46.08659015058072,49.250513894564605,40.13745707998466,50.15378672717396,42.01939357398748
121,2025-05-21,44.73315344403794,46.28255684374999,49.0479961468924,40.418310741183475,50.28606023618333,42.27905345131664
122,2025-05-22,44.733034540619244,46.28272621127501,49.048537754287494,40.41753132695099,50.28558146881057,42.279870953739454
